Mathematics,Chemistry,Biology,Physics,Geography,English,Field_of_Interest,Course
D,D,F,F,A,F,Computer,Electrical and Computer Engineering
C,F,A,F,F,B,Computer,Electrical and Computer Engineering
C,F,D,C,A,F,Solar Electricity,Electrical and Renewable Energy
B,C,A,C,A,C,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
A,A,F,B,F,B,Electronics,Electronics and Telecommunication Engineering
D,B,A,A,B,A,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
A,D,A,B,C,A,Networks,Electrical and Computer Engineering
F,A,F,C,A,D,Solar Electricity,Electrical and Renewable Energy
A,A,F,D,D,B,Networks,Electrical and Computer Engineering
A,D,D,D,C,C,Electronics,Electronics and Telecommunication Engineering
C,B,F,B,D,B,Computer,Electrical and Computer Engineering
D,A,D,C,A,B,Computer,Electrical and Computer Engineering
A,F,B,F,D,C,Computer,Electrical and Computer Engineering
C,F,B,C,C,F,Electronics,Electronics and Telecommunication Engineering
B,D,F,B,D,C,Networks,Electrical and Computer Engineering
C,B,A,C,D,B,Electronics,Electronics and Telecommunication Engineering
C,D,C,D,C,B,Electronics,Electronics and Telecommunication Engineering
C,A,A,F,C,B,Networks,Electrical and Computer Engineering
A,F,F,B,C,B,Computer,Electrical and Computer Engineering
A,C,D,B,C,D,Solar Electricity,Electrical and Renewable Energy
B,D,A,A,F,F,Electronics,Electronics and Telecommunication Engineering
F,C,B,F,A,B,Electronics,Electronics and Telecommunication Engineering
F,C,F,B,C,D,Networks,Electrical and Computer Engineering
F,F,A,C,B,B,Solar Electricity,Electrical and Renewable Energy
B,D,A,C,D,F,Electronics,Electronics and Telecommunication Engineering
F,C,D,C,C,F,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
F,A,D,C,C,C,Solar Electricity,Electrical and Renewable Energy
C,B,D,B,A,D,Electronics,Electronics and Telecommunication Engineering
A,B,C,D,C,F,Solar Electricity,Electrical and Renewable Energy
A,F,F,F,F,A,Domestic and Industrial Electricity,Unknown
C,D,F,C,B,B,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
C,D,B,B,B,F,Solar Electricity,Electrical and Renewable Energy
C,B,B,B,C,D,Computer,Electrical and Computer Engineering
A,A,F,C,A,D,Solar Electricity,Electrical and Renewable Energy
F,B,A,A,C,D,Networks,Electrical and Computer Engineering
C,B,F,B,D,C,Computer,Electrical and Computer Engineering
B,D,C,F,B,B,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
C,C,B,F,D,A,Computer,Electrical and Computer Engineering
D,A,B,A,F,D,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
C,D,B,B,B,B,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
A,B,F,A,B,D,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
C,C,B,B,F,D,Networks,Electrical and Computer Engineering
D,A,B,B,D,A,Networks,Electrical and Computer Engineering
B,F,F,A,C,B,Electronics,Electronics and Telecommunication Engineering
F,A,A,D,A,D,Networks,Electrical and Computer Engineering
C,A,B,C,D,C,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
D,B,B,C,F,D,Solar Electricity,Electrical and Renewable Energy
D,B,B,C,F,B,Computer,Electrical and Computer Engineering
B,F,C,A,F,F,Solar Electricity,Electrical and Renewable Energy
A,F,F,B,B,D,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
C,F,B,B,C,C,Solar Electricity,Electrical and Renewable Energy
D,D,C,F,B,C,Computer,Electrical and Computer Engineering
B,D,A,B,B,D,Electronics,Electronics and Telecommunication Engineering
F,B,A,D,B,B,Electronics,Electronics and Telecommunication Engineering
D,B,C,C,F,D,Networks,Electrical and Computer Engineering
B,F,A,D,D,C,Solar Electricity,Electrical and Renewable Energy
A,D,D,C,A,D,Networks,Electrical and Computer Engineering
A,C,A,A,A,C,Networks,Electrical and Computer Engineering
D,D,D,D,C,F,Solar Electricity,Electrical and Renewable Energy
D,B,C,B,C,D,Solar Electricity,Electrical and Renewable Energy
C,D,D,C,F,A,Computer,Electrical and Computer Engineering
B,B,A,F,A,D,Solar Electricity,Electrical and Renewable Energy
D,F,B,D,D,C,Solar Electricity,Electrical and Renewable Energy
C,F,D,A,F,B,Networks,Electrical and Computer Engineering
C,F,A,F,C,C,Electronics,Electronics and Telecommunication Engineering
D,C,B,A,F,F,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
A,C,C,C,C,B,Electronics,Electronics and Telecommunication Engineering
B,B,C,D,A,A,Solar Electricity,Electrical and Renewable Energy
B,A,F,A,F,A,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
A,C,C,F,B,F,Solar Electricity,Electrical and Renewable Energy
D,B,F,F,C,F,Computer,Electrical and Computer Engineering
B,D,C,B,B,F,Solar Electricity,Electrical and Renewable Energy
D,F,C,A,C,F,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
D,F,C,D,B,D,Computer,Electrical and Computer Engineering
C,F,F,D,A,C,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
A,B,F,B,A,D,Computer,Electrical and Computer Engineering
D,F,D,F,D,B,Networks,Electrical and Computer Engineering
F,C,A,A,D,A,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
A,D,A,F,D,A,Networks,Electrical and Computer Engineering
B,F,A,A,F,B,Networks,Electrical and Computer Engineering
C,B,C,A,C,A,Solar Electricity,Electrical and Renewable Energy
B,D,A,A,F,F,Electronics,Electronics and Telecommunication Engineering
B,F,F,F,D,F,Computer,Unknown
A,A,D,F,C,F,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
B,F,B,F,F,B,Networks,Electrical and Computer Engineering
D,C,D,C,A,C,Solar Electricity,Electrical and Renewable Energy
B,D,A,F,C,B,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
C,C,A,B,D,C,Solar Electricity,Electrical and Renewable Energy
C,A,F,C,A,A,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
F,A,D,A,C,A,Solar Electricity,Electrical and Renewable Energy
C,C,F,D,F,A,Solar Electricity,Electrical and Renewable Energy
B,D,F,C,D,C,Electronics,Electronics and Telecommunication Engineering
C,A,B,C,F,A,Networks,Electrical and Computer Engineering
A,A,F,A,A,B,Computer,Electrical and Computer Engineering
C,F,F,F,A,C,Computer,Electrical and Computer Engineering
D,B,B,F,A,F,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
A,A,C,C,C,C,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
F,D,C,F,D,B,Electronics,Electronics and Telecommunication Engineering
D,D,B,C,A,B,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
B,F,F,D,F,B,Computer,Electrical and Computer Engineering
B,D,A,D,D,A,Networks,Electrical and Computer Engineering
B,F,D,A,F,F,Electronics,Electronics and Telecommunication Engineering
D,A,A,B,F,F,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
D,A,A,B,A,D,Electronics,Electronics and Telecommunication Engineering
D,A,F,F,D,B,Electronics,Electronics and Telecommunication Engineering
A,A,D,B,B,A,Electronics,Electronics and Telecommunication Engineering
A,B,D,D,C,C,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
B,B,C,A,B,A,Solar Electricity,Electrical and Renewable Energy
C,A,B,D,C,B,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
B,D,F,C,D,A,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
F,F,D,F,A,B,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
A,C,F,F,D,C,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
D,F,C,B,B,C,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
A,C,A,C,F,F,Electronics,Electronics and Telecommunication Engineering
D,C,D,B,C,D,Electronics,Electronics and Telecommunication Engineering
F,A,C,B,C,A,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
F,C,F,B,B,D,Networks,Electrical and Computer Engineering
A,A,C,C,A,A,Networks,Electrical and Computer Engineering
D,B,C,B,D,F,Solar Electricity,Electrical and Renewable Energy
F,D,C,F,B,F,Networks,Electrical and Computer Engineering
B,C,C,B,D,C,Computer,Electrical and Computer Engineering
B,D,C,C,A,C,Computer,Electrical and Computer Engineering
D,A,C,C,F,C,Networks,Electrical and Computer Engineering
A,C,B,D,D,A,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
F,F,F,B,A,D,Networks,Electrical and Computer Engineering
A,B,A,C,B,D,Computer,Electrical and Computer Engineering
B,B,F,B,F,C,Networks,Electrical and Computer Engineering
F,C,D,A,F,F,Electronics,Electronics and Telecommunication Engineering
A,B,D,F,F,D,Solar Electricity,Electrical and Renewable Energy
C,F,F,F,C,F,Electronics,Unknown
D,D,C,B,A,C,Electronics,Electronics and Telecommunication Engineering
D,F,B,F,D,A,Solar Electricity,Electrical and Renewable Energy
C,B,A,F,B,B,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
B,D,C,A,F,D,Solar Electricity,Electrical and Renewable Energy
F,F,F,F,F,C,Domestic and Industrial Electricity,Unknown
D,A,F,F,F,C,Computer,Electrical and Computer Engineering
C,A,B,C,A,D,Networks,Electrical and Computer Engineering
C,D,B,F,B,B,Computer,Electrical and Computer Engineering
B,D,F,B,A,A,Computer,Electrical and Computer Engineering
B,D,C,F,B,D,Computer,Electrical and Computer Engineering
A,A,C,B,D,A,Networks,Electrical and Computer Engineering
D,F,C,F,C,C,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
A,D,A,B,B,D,Solar Electricity,Electrical and Renewable Energy
C,A,A,F,A,A,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
F,D,C,B,A,F,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
F,D,F,F,A,F,Electronics,Unknown
B,D,B,A,C,F,Networks,Electrical and Computer Engineering
F,A,D,C,B,A,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
F,F,B,C,B,F,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
F,A,B,C,B,C,Computer,Electrical and Computer Engineering
C,A,D,C,B,A,Electronics,Electronics and Telecommunication Engineering
F,D,C,A,F,C,Solar Electricity,Electrical and Renewable Energy
F,C,B,A,F,B,Electronics,Electronics and Telecommunication Engineering
F,C,D,F,A,A,Computer,Electrical and Computer Engineering
A,C,F,A,F,F,Computer,Electrical and Computer Engineering
C,A,F,C,B,F,Computer,Electrical and Computer Engineering
B,D,F,D,B,B,Networks,Electrical and Computer Engineering
A,C,C,F,F,D,Computer,Electrical and Computer Engineering
D,B,B,B,D,B,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
C,B,B,C,A,F,Networks,Electrical and Computer Engineering
C,B,A,C,C,F,Computer,Electrical and Computer Engineering
D,F,F,C,A,D,Networks,Electrical and Computer Engineering
D,D,C,A,A,B,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
D,A,D,B,A,C,Computer,Electrical and Computer Engineering
B,A,C,F,F,B,Computer,Electrical and Computer Engineering
F,D,B,C,A,C,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
C,F,F,B,B,F,Computer,Electrical and Computer Engineering
F,D,A,D,A,F,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
F,F,C,A,B,B,Computer,Electrical and Computer Engineering
D,C,A,C,F,F,Computer,Electrical and Computer Engineering
B,C,B,B,F,D,Electronics,Electronics and Telecommunication Engineering
A,F,D,B,A,A,Networks,Electrical and Computer Engineering
B,D,C,C,B,C,Solar Electricity,Electrical and Renewable Energy
F,C,B,B,B,F,Electronics,Electronics and Telecommunication Engineering
B,D,F,B,B,C,Electronics,Electronics and Telecommunication Engineering
D,C,C,F,B,B,Networks,Electrical and Computer Engineering
A,D,A,A,C,D,Electronics,Electronics and Telecommunication Engineering
D,D,C,F,F,C,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
A,B,B,A,B,F,Electronics,Electronics and Telecommunication Engineering
F,F,B,A,C,A,Solar Electricity,Electrical and Renewable Energy
A,A,A,F,C,D,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
A,F,B,C,F,B,Networks,Electrical and Computer Engineering
A,D,C,B,D,F,Networks,Electrical and Computer Engineering
B,D,A,D,A,D,Networks,Electrical and Computer Engineering
B,F,B,F,F,F,Domestic and Industrial Electricity,Unknown
F,D,B,F,D,B,Networks,Electrical and Computer Engineering
A,C,C,C,A,B,Networks,Electrical and Computer Engineering
C,D,B,B,A,A,Solar Electricity,Electrical and Renewable Energy
F,F,C,F,A,D,Computer,Electrical and Computer Engineering
A,F,F,D,C,A,Computer,Electrical and Computer Engineering
A,F,C,B,B,A,Computer,Electrical and Computer Engineering
B,B,D,F,A,A,Networks,Electrical and Computer Engineering
F,B,B,F,B,C,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
A,B,F,A,A,B,Networks,Electrical and Computer Engineering
A,B,A,A,C,A,Computer,Electrical and Computer Engineering
F,B,D,F,A,C,Solar Electricity,Electrical and Renewable Energy
C,B,A,C,F,C,Networks,Electrical and Computer Engineering
F,B,D,A,D,C,Networks,Electrical and Computer Engineering
F,F,F,F,A,A,Networks,Unknown
C,A,F,B,D,C,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
F,B,F,D,D,A,Solar Electricity,Electrical and Renewable Energy
A,F,D,A,C,D,Solar Electricity,Electrical and Renewable Energy
F,A,C,F,D,B,Solar Electricity,Electrical and Renewable Energy
C,B,A,A,C,F,Solar Electricity,Electrical and Renewable Energy
D,A,C,B,A,A,Computer,Electrical and Computer Engineering
F,A,C,C,B,B,Networks,Electrical and Computer Engineering
B,C,B,F,C,A,Solar Electricity,Electrical and Renewable Energy
A,D,A,B,D,D,Electronics,Electronics and Telecommunication Engineering
A,C,D,D,D,B,Electronics,Electronics and Telecommunication Engineering
B,A,B,F,A,B,Computer,Electrical and Computer Engineering
B,F,B,D,C,C,Electronics,Electronics and Telecommunication Engineering
F,B,F,C,A,A,Electronics,Electronics and Telecommunication Engineering
B,D,D,F,C,A,Electronics,Electronics and Telecommunication Engineering
D,B,C,F,B,F,Computer,Electrical and Computer Engineering
C,F,C,B,F,C,Networks,Electrical and Computer Engineering
B,D,C,A,A,C,Computer,Electrical and Computer Engineering
B,C,F,F,D,F,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
D,A,C,C,A,C,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
A,F,A,F,C,C,Electronics,Electronics and Telecommunication Engineering
A,A,C,F,A,D,Electronics,Electronics and Telecommunication Engineering
F,A,C,F,B,B,Networks,Electrical and Computer Engineering
D,B,A,F,C,F,Electronics,Electronics and Telecommunication Engineering
C,F,F,C,D,D,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
C,A,B,B,D,D,Electronics,Electronics and Telecommunication Engineering
D,C,D,A,C,D,Networks,Electrical and Computer Engineering
C,D,F,C,B,C,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
A,F,C,C,A,F,Electronics,Electronics and Telecommunication Engineering
C,B,B,D,F,C,Networks,Electrical and Computer Engineering
C,F,D,A,D,C,Networks,Electrical and Computer Engineering
D,B,D,B,B,D,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
D,D,D,B,B,A,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
C,C,A,D,B,F,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
B,A,A,D,A,F,Networks,Electrical and Computer Engineering
D,F,B,C,B,D,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
F,B,C,B,B,D,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
F,D,B,B,C,B,Networks,Electrical and Computer Engineering
A,A,C,B,C,D,Networks,Electrical and Computer Engineering
C,D,F,C,B,C,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
B,C,D,B,B,D,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
A,A,D,F,C,F,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
C,A,A,D,A,A,Networks,Electrical and Computer Engineering
D,A,F,D,C,A,Solar Electricity,Electrical and Renewable Energy
F,B,F,D,C,C,Computer,Electrical and Computer Engineering
B,A,C,D,C,A,Electronics,Electronics and Telecommunication Engineering
F,D,F,F,C,D,Computer,Electrical and Computer Engineering
D,B,A,A,F,A,Networks,Electrical and Computer Engineering
C,A,C,B,D,D,Solar Electricity,Electrical and Renewable Energy
D,D,B,D,A,B,Networks,Electrical and Computer Engineering
D,D,C,B,A,F,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
F,F,B,B,B,C,Electronics,Electronics and Telecommunication Engineering
B,D,C,F,F,B,Computer,Electrical and Computer Engineering
D,C,D,B,B,A,Networks,Electrical and Computer Engineering
F,A,B,D,A,C,Solar Electricity,Electrical and Renewable Energy
B,A,A,B,A,D,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
C,A,B,F,B,B,Solar Electricity,Electrical and Renewable Energy
C,D,B,D,D,F,Electronics,Electronics and Telecommunication Engineering
A,D,C,F,B,F,Solar Electricity,Electrical and Renewable Energy
F,A,D,C,D,B,Solar Electricity,Electrical and Renewable Energy
B,B,C,A,D,B,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
D,B,C,B,C,B,Solar Electricity,Electrical and Renewable Energy
C,C,D,B,A,A,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
B,F,C,B,C,F,Electronics,Electronics and Telecommunication Engineering
F,C,D,C,A,F,Networks,Electrical and Computer Engineering
A,A,A,A,C,A,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
C,A,D,F,D,C,Networks,Electrical and Computer Engineering
B,A,F,C,C,F,Computer,Electrical and Computer Engineering
B,F,D,C,F,C,Solar Electricity,Electrical and Renewable Energy
B,D,D,D,C,C,Networks,Electrical and Computer Engineering
F,F,F,C,C,C,Solar Electricity,Electrical and Renewable Energy
F,C,D,C,C,F,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
F,D,B,B,F,D,Solar Electricity,Electrical and Renewable Energy
D,D,C,D,A,C,Electronics,Electronics and Telecommunication Engineering
B,C,C,F,C,D,Networks,Electrical and Computer Engineering
C,D,A,A,A,A,Solar Electricity,Electrical and Renewable Energy
F,B,A,F,B,D,Networks,Electrical and Computer Engineering
F,C,F,D,D,D,Networks,Electrical and Computer Engineering
B,C,B,B,B,B,Electronics,Electronics and Telecommunication Engineering
F,B,A,A,F,C,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
D,F,C,F,F,F,Solar Electricity,Unknown
D,F,A,A,A,B,Computer,Electrical and Computer Engineering
F,F,A,A,A,D,Networks,Electrical and Computer Engineering
B,D,D,A,C,A,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
B,B,A,C,B,F,Computer,Electrical and Computer Engineering
B,C,F,D,A,A,Networks,Electrical and Computer Engineering
A,C,C,D,A,D,Computer,Electrical and Computer Engineering
F,C,F,B,A,A,Solar Electricity,Electrical and Renewable Energy
B,D,F,F,D,B,Solar Electricity,Electrical and Renewable Energy
D,D,B,B,A,A,Networks,Electrical and Computer Engineering
C,F,D,F,D,B,Networks,Electrical and Computer Engineering
C,D,F,A,F,C,Solar Electricity,Electrical and Renewable Energy
B,F,B,F,C,F,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
C,F,C,F,B,A,Computer,Electrical and Computer Engineering
C,C,C,A,A,B,Networks,Electrical and Computer Engineering
A,D,B,B,D,D,Networks,Electrical and Computer Engineering
D,F,F,F,A,D,Electronics,Electronics and Telecommunication Engineering
D,B,F,B,A,B,Computer,Electrical and Computer Engineering
A,B,D,B,D,F,Solar Electricity,Electrical and Renewable Energy
A,D,D,D,A,C,Networks,Electrical and Computer Engineering
C,C,C,A,B,C,Networks,Electrical and Computer Engineering
F,C,D,A,F,F,Solar Electricity,Electrical and Renewable Energy
C,F,B,C,C,A,Computer,Electrical and Computer Engineering
A,D,C,B,A,B,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
D,B,F,C,D,C,Solar Electricity,Electrical and Renewable Energy
C,F,C,A,B,F,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
F,F,A,A,A,C,Networks,Electrical and Computer Engineering
C,A,C,C,F,C,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
B,D,D,A,F,A,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
C,F,B,A,D,C,Solar Electricity,Electrical and Renewable Energy
A,B,F,D,A,B,Networks,Electrical and Computer Engineering
D,A,F,F,A,F,Computer,Electrical and Computer Engineering
D,B,D,D,A,A,Electronics,Electronics and Telecommunication Engineering
A,C,D,F,F,A,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
B,A,D,D,A,F,Networks,Electrical and Computer Engineering
A,A,A,D,A,B,Electronics,Electronics and Telecommunication Engineering
C,F,B,B,A,C,Computer,Electrical and Computer Engineering
A,C,A,C,A,C,Electronics,Electronics and Telecommunication Engineering
A,F,D,D,D,B,Computer,Electrical and Computer Engineering
B,D,B,B,F,D,Electronics,Electronics and Telecommunication Engineering
C,B,D,D,C,F,Computer,Electrical and Computer Engineering
F,B,B,C,D,B,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
F,F,F,B,A,C,Electronics,Electronics and Telecommunication Engineering
D,B,A,F,C,F,Computer,Electrical and Computer Engineering
A,B,D,C,B,F,Networks,Electrical and Computer Engineering
D,D,D,A,C,C,Solar Electricity,Electrical and Renewable Energy
B,C,C,B,D,B,Electronics,Electronics and Telecommunication Engineering
F,A,F,A,F,D,Electronics,Electronics and Telecommunication Engineering
A,F,D,B,D,F,Electronics,Electronics and Telecommunication Engineering
B,F,A,F,F,F,Electronics,Unknown
B,D,F,B,F,F,Solar Electricity,Electrical and Renewable Energy
A,D,D,D,F,B,Electronics,Electronics and Telecommunication Engineering
B,A,A,A,B,F,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
A,C,C,A,C,C,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
A,F,C,B,D,C,Networks,Electrical and Computer Engineering
C,D,A,D,D,A,Solar Electricity,Electrical and Renewable Energy
D,F,F,D,F,F,Networks,Unknown
B,B,A,B,B,D,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
B,F,A,C,B,A,Electronics,Electronics and Telecommunication Engineering
C,C,C,F,A,F,Electronics,Electronics and Telecommunication Engineering
C,C,C,B,B,F,Computer,Electrical and Computer Engineering
C,F,C,D,F,B,Solar Electricity,Electrical and Renewable Energy
F,B,D,F,F,B,Computer,Electrical and Computer Engineering
F,C,D,B,C,C,Solar Electricity,Electrical and Renewable Energy
F,D,B,F,F,A,Solar Electricity,Electrical and Renewable Energy
A,F,D,C,C,A,Electronics,Electronics and Telecommunication Engineering
B,B,F,D,B,A,Electronics,Electronics and Telecommunication Engineering
D,D,F,C,A,C,Networks,Electrical and Computer Engineering
A,F,C,C,D,D,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
B,B,A,D,F,D,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
B,D,C,C,B,D,Electronics,Electronics and Telecommunication Engineering
C,C,A,B,F,A,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
C,F,C,B,C,F,Solar Electricity,Electrical and Renewable Energy
A,F,C,F,B,A,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
C,C,F,B,D,F,Networks,Electrical and Computer Engineering
B,A,A,B,C,B,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
C,D,B,F,B,C,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
F,C,B,A,D,D,Networks,Electrical and Computer Engineering
C,F,C,D,C,A,Networks,Electrical and Computer Engineering
B,D,C,B,D,A,Electronics,Electronics and Telecommunication Engineering
A,D,F,F,B,B,Networks,Electrical and Computer Engineering
D,A,A,C,C,F,Electronics,Electronics and Telecommunication Engineering
C,F,C,C,A,D,Solar Electricity,Electrical and Renewable Energy
B,B,B,B,F,C,Computer,Electrical and Computer Engineering
D,A,A,D,A,F,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
D,A,C,F,D,F,Networks,Electrical and Computer Engineering
F,B,A,F,B,D,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
D,B,F,F,F,C,Solar Electricity,Electrical and Renewable Energy
B,A,B,F,B,D,Computer,Electrical and Computer Engineering
B,D,A,F,D,D,Networks,Electrical and Computer Engineering
C,C,B,D,B,A,Electronics,Electronics and Telecommunication Engineering
C,C,C,F,C,C,Electronics,Electronics and Telecommunication Engineering
C,A,D,D,C,F,Networks,Electrical and Computer Engineering
D,D,A,D,D,D,Networks,Electrical and Computer Engineering
D,B,B,D,B,B,Solar Electricity,Electrical and Renewable Energy
F,A,A,C,D,C,Computer,Electrical and Computer Engineering
C,F,C,A,F,B,Networks,Electrical and Computer Engineering
A,D,C,B,B,F,Electronics,Electronics and Telecommunication Engineering
F,F,B,C,C,C,Computer,Electrical and Computer Engineering
A,F,F,A,A,A,Networks,Electrical and Computer Engineering
D,A,A,C,C,C,Computer,Electrical and Computer Engineering
F,D,A,D,B,F,Solar Electricity,Electrical and Renewable Energy
F,F,C,D,B,A,Networks,Electrical and Computer Engineering
B,D,A,F,B,F,Networks,Electrical and Computer Engineering
D,C,B,D,B,C,Computer,Electrical and Computer Engineering
D,F,D,C,F,F,Networks,Electrical and Computer Engineering
F,F,C,B,A,C,Computer,Electrical and Computer Engineering
D,D,D,D,C,A,Computer,Electrical and Computer Engineering
F,C,A,A,F,C,Networks,Electrical and Computer Engineering
B,F,F,C,D,F,Electronics,Electronics and Telecommunication Engineering
F,A,B,A,B,F,Solar Electricity,Electrical and Renewable Energy
D,D,A,F,C,F,Computer,Electrical and Computer Engineering
D,D,B,F,D,B,Electronics,Electronics and Telecommunication Engineering
F,F,A,B,A,B,Computer,Electrical and Computer Engineering
F,C,A,C,C,B,Electronics,Electronics and Telecommunication Engineering
F,F,A,B,F,D,Networks,Electrical and Computer Engineering
C,B,C,A,D,C,Solar Electricity,Electrical and Renewable Energy
D,F,D,B,C,B,Electronics,Electronics and Telecommunication Engineering
D,B,F,A,F,F,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
C,A,D,B,B,F,Computer,Electrical and Computer Engineering
F,D,D,F,C,B,Electronics,Electronics and Telecommunication Engineering
B,D,B,C,B,B,Solar Electricity,Electrical and Renewable Energy
F,C,C,B,D,F,Solar Electricity,Electrical and Renewable Energy
F,F,C,A,D,B,Solar Electricity,Electrical and Renewable Energy
C,A,A,C,D,D,Electronics,Electronics and Telecommunication Engineering
D,B,D,F,B,D,Electronics,Electronics and Telecommunication Engineering
F,C,F,F,B,D,Networks,Electrical and Computer Engineering
D,A,B,D,F,A,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
A,A,C,C,C,D,Electronics,Electronics and Telecommunication Engineering
D,B,A,B,F,F,Networks,Electrical and Computer Engineering
B,B,F,F,B,A,Computer,Electrical and Computer Engineering
B,D,D,B,C,F,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
F,F,F,B,D,F,Solar Electricity,Unknown
D,C,C,A,F,B,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
F,F,B,B,F,C,Computer,Electrical and Computer Engineering
C,C,D,D,F,D,Electronics,Electronics and Telecommunication Engineering
B,A,B,C,B,C,Electronics,Electronics and Telecommunication Engineering
F,B,F,C,C,C,Networks,Electrical and Computer Engineering
C,B,F,A,D,B,Electronics,Electronics and Telecommunication Engineering
F,A,A,D,B,C,Electronics,Electronics and Telecommunication Engineering
D,A,D,D,D,D,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
